国・地域,宿泊費,飲食費,都内交通費,娯楽入場費,土産買物費,その他,都内支出額計,平均泊数,標本数,年度,alpha-3
フランス,45195.0,28328.0,11138.0,6960.0,31712.0,529.0,123862.0,8.6,260.0,2019,FRA
イタリア,47601.0,29573.0,13018.0,4932.0,19108.0,818.0,115050.0,9.2,194.0,2019,ITA
スペイン,47846.0,35028.0,16014.0,5404.0,24151.0,885.0,129327.0,7.7,207.0,2019,ESP
オーストラリア,46683.0,27865.0,8388.0,4268.0,20252.0,656.0,108112.0,5.6,422.0,2019,AUS
インド,70159.0,26134.0,14538.0,2608.0,23446.0,728.0,137613.0,19.6,170.0,2019,IND
インドネシア,29684.0,15290.0,8135.0,2157.0,37886.0,373.0,93526.0,5.6,321.0,2019,IDN
フィリピン,20889.0,24609.0,7377.0,2488.0,29235.0,495.0,85093.0,10.5,280.0,2019,PHL
ベトナム,15164.0,15923.0,5698.0,3076.0,71086.0,6916.0,117864.0,9.6,184.0,2019,VNM
ロシア,35685.0,22117.0,7782.0,7143.0,26930.0,1693.0,101349.0,6.2,161.0,2019,RUS
その他,48143.0,31715.0,10561.0,1175.0,9830.0,3398.0,104822.0,4.7,9.0,2019,
